name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Iuri Alcantara,1.75,135.0,1.8,0,33.04,5.36,0.56,3.92,0.59,0.43,0.5,0.17,1.73,0.82,Urijah Faber,1.68,135.0,1.7,34.26,3.16,0.41,3.16,0.41,0.49,0.17,0.17,0.49,0.79,0,0,0,1,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,1,33.53,3.17,0.57,5.45,0.68,0.86,0.67,0.57,1.3,0.82,Wilson Reis,1.63,125.0,1.65,29.11,5.2,0.52,5.2,0.52,4.0,0.67,0.67,0.0,0.76,0,0,0,1,0,0,0,0,1,0
Iuri Alcantara,1.75,135.0,1.8,1,33.82,4.55,0.63,6.31,0.69,1.73,0.8,0.54,0.86,0.8,Vaughan Lee,1.68,125.0,1.68,31.63,9.06,0.62,9.06,0.62,0.0,0.0,0.0,0.0,0.54,0,0,0,1,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,1,34.11,4.16,0.62,6.68,0.71,1.37,0.75,0.58,0.46,0.81,Russell Doane,1.7,135.0,1.78,28.09,4.8,0.56,4.8,0.56,1.8,0.33,0.33,0.6,0.72,0,0,0,1,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,1,34.99,4.34,0.65,4.78,0.66,1.98,0.55,0.48,0.0,0.79,Leandro Issa,1.7,135.0,1.75,31.87,3.91,0.57,4.74,0.61,3.12,0.31,0.5,1.56,0.71,0,0,0,1,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,0,35.49,3.92,0.62,4.14,0.65,1.32,0.5,0.35,0.0,0.79,Jimmie Rivera,1.63,135.0,1.73,26.59,6.65,0.42,5.19,0.39,0.0,0.0,0.0,0.0,0.79,0,0,0,1,0,0,1,0,0,0
Iuri Alcantara,1.75,135.0,1.8,1,36.58,3.9,0.54,3.75,0.57,0.64,0.5,0.3,0.64,0.78,Luke Sanders,1.68,135.0,1.7,31.23,7.44,0.55,4.68,0.42,0.0,0.0,1.0,4.13,1.0,0,0,0,1,0,0,0,0,1,0
Iuri Alcantara,1.75,135.0,1.8,1,37.5,3.85,0.42,7.81,0.6,1.11,0.33,0.33,1.67,0.77,Joe Soto,1.68,135.0,1.65,30.87,5.77,0.56,4.4,0.34,1.33,0.33,0.21,2.98,0.75,0,0,0,1,0,0,1,0,0,0
Ivan Jorge,1.75,155.0,1.85,0,33.27,5.8,0.75,4.4,0.64,2.0,0.2,0.0,0.0,0.86,Rodrigo Damm,1.7,155.0,1.8,34.03,4.32,0.41,4.32,0.41,0.93,0.29,0.29,0.47,0.53,0,1,0,0,0,0,1,0,0,0
Ivan Jorge,1.75,155.0,1.85,1,34.29,5.17,0.55,4.5,0.49,1.0,0.11,0.5,0.5,0.86,Josh Shockley,1.85,155.0,1.88,25.27,2.63,0.65,2.63,0.65,0.0,0.0,0.0,3.03,0.79,0,1,0,0,0,0,1,0,0,0
