f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Viktor Pesta
            ","
              Konstantin Erokhin
            ",35,17,4,0,0,0,4,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Neil Seery
            ","
              Chris Beal
            ",56,39,1,2,4,0,1,3,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs Johnson
            ","
      ,
      January 24, 2015
    "
"
              Anderson Silva
            ","
              Nick Diaz
            ",108,77,0,0,0,0,0,0,"
        Middleweight","
        
        

        Overturned

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Tyron Woodley
            ","
              Kelvin Gastelum
            ",27,32,0,0,0,0,0,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Al Iaquinta
            ","
              Joe Lauzon
            ",59,32,1,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        3:34
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Thales Leites
            ","
              Tim Boetsch
            ",20,26,1,0,2,0,4,1,"
        Middleweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        2
      ","

        
        3:45
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Thiago Alves
            ","
              Jordan Mein
            ",23,37,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        2
      ","

        
        0:39
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Miesha Tate
            ","
              Sara McMann
            ",23,34,0,1,2,0,4,4,"
        Women's Bantamweight","
        
        

        M-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              Derek Brunson
            ","
              Ed Herman
            ",11,0,0,0,0,0,0,0,"
        Middleweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:36
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
"
              John Lineker
            ","
              Ian McCall
            ",38,40,0,1,3,0,0,1,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 183: Silva vs Diaz
            ","
      ,
      January 31, 2015
    "
